,Name,Date,Latitude,Longitude,NB,SB,TotalCount
0,2ndAveCycleTrack,01/01/2015 12:00:00 AM,47.60529,-122.333724,0.0,3.0,3.0
1,2ndAveCycleTrack,01/01/2015 01:00:00 AM,47.60529,-122.333724,0.0,9.0,9.0
2,2ndAveCycleTrack,01/01/2015 02:00:00 AM,47.60529,-122.333724,0.0,2.0,2.0
3,2ndAveCycleTrack,01/01/2015 03:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
4,2ndAveCycleTrack,01/01/2015 04:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
5,2ndAveCycleTrack,01/01/2015 05:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
6,2ndAveCycleTrack,01/01/2015 06:00:00 AM,47.60529,-122.333724,1.0,1.0,2.0
7,2ndAveCycleTrack,01/01/2015 07:00:00 AM,47.60529,-122.333724,1.0,3.0,4.0
8,2ndAveCycleTrack,01/01/2015 08:00:00 AM,47.60529,-122.333724,0.0,2.0,2.0
9,2ndAveCycleTrack,01/01/2015 09:00:00 AM,47.60529,-122.333724,0.0,5.0,5.0
10,2ndAveCycleTrack,01/01/2015 10:00:00 AM,47.60529,-122.333724,2.0,4.0,6.0
11,2ndAveCycleTrack,01/01/2015 11:00:00 AM,47.60529,-122.333724,4.0,4.0,8.0
12,2ndAveCycleTrack,01/01/2015 12:00:00 PM,47.60529,-122.333724,0.0,2.0,2.0
13,2ndAveCycleTrack,01/01/2015 01:00:00 PM,47.60529,-122.333724,5.0,5.0,10.0
14,2ndAveCycleTrack,01/01/2015 02:00:00 PM,47.60529,-122.333724,4.0,6.0,10.0
15,2ndAveCycleTrack,01/01/2015 03:00:00 PM,47.60529,-122.333724,6.0,4.0,10.0
16,2ndAveCycleTrack,01/01/2015 04:00:00 PM,47.60529,-122.333724,6.0,6.0,12.0
17,2ndAveCycleTrack,01/01/2015 05:00:00 PM,47.60529,-122.333724,1.0,3.0,4.0
18,2ndAveCycleTrack,01/01/2015 06:00:00 PM,47.60529,-122.333724,1.0,1.0,2.0
19,2ndAveCycleTrack,01/01/2015 07:00:00 PM,47.60529,-122.333724,0.0,4.0,4.0
20,2ndAveCycleTrack,01/01/2015 08:00:00 PM,47.60529,-122.333724,0.0,0.0,0.0
21,2ndAveCycleTrack,01/01/2015 09:00:00 PM,47.60529,-122.333724,0.0,2.0,2.0
22,2ndAveCycleTrack,01/01/2015 10:00:00 PM,47.60529,-122.333724,0.0,1.0,1.0
23,2ndAveCycleTrack,01/01/2015 11:00:00 PM,47.60529,-122.333724,1.0,1.0,2.0
24,2ndAveCycleTrack,01/02/2015 12:00:00 AM,47.60529,-122.333724,1.0,0.0,1.0
25,2ndAveCycleTrack,01/02/2015 01:00:00 AM,47.60529,-122.333724,1.0,0.0,1.0
26,2ndAveCycleTrack,01/02/2015 02:00:00 AM,47.60529,-122.333724,5.0,0.0,5.0
27,2ndAveCycleTrack,01/02/2015 03:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
28,2ndAveCycleTrack,01/02/2015 04:00:00 AM,47.60529,-122.333724,3.0,0.0,3.0
29,2ndAveCycleTrack,01/02/2015 05:00:00 AM,47.60529,-122.333724,0.0,2.0,2.0
30,2ndAveCycleTrack,01/02/2015 06:00:00 AM,47.60529,-122.333724,7.0,7.0,14.0
31,2ndAveCycleTrack,01/02/2015 07:00:00 AM,47.60529,-122.333724,6.0,10.0,16.0
32,2ndAveCycleTrack,01/02/2015 08:00:00 AM,47.60529,-122.333724,9.0,22.0,31.0
33,2ndAveCycleTrack,01/02/2015 09:00:00 AM,47.60529,-122.333724,6.0,15.0,21.0
34,2ndAveCycleTrack,01/02/2015 10:00:00 AM,47.60529,-122.333724,5.0,13.0,18.0
35,2ndAveCycleTrack,01/02/2015 11:00:00 AM,47.60529,-122.333724,4.0,11.0,15.0
36,2ndAveCycleTrack,01/02/2015 12:00:00 PM,47.60529,-122.333724,6.0,8.0,14.0
37,2ndAveCycleTrack,01/02/2015 01:00:00 PM,47.60529,-122.333724,2.0,18.0,20.0
38,2ndAveCycleTrack,01/02/2015 02:00:00 PM,47.60529,-122.333724,10.0,6.0,16.0
39,2ndAveCycleTrack,01/02/2015 03:00:00 PM,47.60529,-122.333724,7.0,23.0,30.0
40,2ndAveCycleTrack,01/02/2015 04:00:00 PM,47.60529,-122.333724,13.0,22.0,35.0
41,2ndAveCycleTrack,01/02/2015 05:00:00 PM,47.60529,-122.333724,15.0,28.0,43.0
42,2ndAveCycleTrack,01/02/2015 06:00:00 PM,47.60529,-122.333724,7.0,7.0,14.0
43,2ndAveCycleTrack,01/02/2015 07:00:00 PM,47.60529,-122.333724,2.0,4.0,6.0
44,2ndAveCycleTrack,01/02/2015 08:00:00 PM,47.60529,-122.333724,1.0,2.0,3.0
45,2ndAveCycleTrack,01/02/2015 09:00:00 PM,47.60529,-122.333724,0.0,0.0,0.0
46,2ndAveCycleTrack,01/02/2015 10:00:00 PM,47.60529,-122.333724,3.0,3.0,6.0
47,2ndAveCycleTrack,01/02/2015 11:00:00 PM,47.60529,-122.333724,1.0,2.0,3.0
48,2ndAveCycleTrack,01/03/2015 12:00:00 AM,47.60529,-122.333724,0.0,4.0,4.0
49,2ndAveCycleTrack,01/03/2015 01:00:00 AM,47.60529,-122.333724,3.0,0.0,3.0
50,2ndAveCycleTrack,01/03/2015 02:00:00 AM,47.60529,-122.333724,2.0,0.0,2.0
51,2ndAveCycleTrack,01/03/2015 03:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
52,2ndAveCycleTrack,01/03/2015 04:00:00 AM,47.60529,-122.333724,0.0,1.0,1.0
53,2ndAveCycleTrack,01/03/2015 05:00:00 AM,47.60529,-122.333724,0.0,1.0,1.0
54,2ndAveCycleTrack,01/03/2015 06:00:00 AM,47.60529,-122.333724,0.0,1.0,1.0
55,2ndAveCycleTrack,01/03/2015 07:00:00 AM,47.60529,-122.333724,3.0,3.0,6.0
56,2ndAveCycleTrack,01/03/2015 08:00:00 AM,47.60529,-122.333724,0.0,5.0,5.0
57,2ndAveCycleTrack,01/03/2015 09:00:00 AM,47.60529,-122.333724,2.0,3.0,5.0
58,2ndAveCycleTrack,01/03/2015 10:00:00 AM,47.60529,-122.333724,3.0,9.0,12.0
59,2ndAveCycleTrack,01/03/2015 11:00:00 AM,47.60529,-122.333724,1.0,9.0,10.0
60,2ndAveCycleTrack,01/03/2015 12:00:00 PM,47.60529,-122.333724,2.0,10.0,12.0
61,2ndAveCycleTrack,01/03/2015 01:00:00 PM,47.60529,-122.333724,8.0,7.0,15.0
62,2ndAveCycleTrack,01/03/2015 02:00:00 PM,47.60529,-122.333724,9.0,9.0,18.0
63,2ndAveCycleTrack,01/03/2015 03:00:00 PM,47.60529,-122.333724,5.0,5.0,10.0
64,2ndAveCycleTrack,01/03/2015 04:00:00 PM,47.60529,-122.333724,6.0,7.0,13.0
65,2ndAveCycleTrack,01/03/2015 05:00:00 PM,47.60529,-122.333724,1.0,10.0,11.0
66,2ndAveCycleTrack,01/03/2015 06:00:00 PM,47.60529,-122.333724,3.0,5.0,8.0
67,2ndAveCycleTrack,01/03/2015 07:00:00 PM,47.60529,-122.333724,1.0,4.0,5.0
68,2ndAveCycleTrack,01/03/2015 08:00:00 PM,47.60529,-122.333724,2.0,5.0,7.0
69,2ndAveCycleTrack,01/03/2015 09:00:00 PM,47.60529,-122.333724,1.0,7.0,8.0
70,2ndAveCycleTrack,01/03/2015 10:00:00 PM,47.60529,-122.333724,3.0,5.0,8.0
71,2ndAveCycleTrack,01/03/2015 11:00:00 PM,47.60529,-122.333724,1.0,1.0,2.0
72,2ndAveCycleTrack,01/04/2015 12:00:00 AM,47.60529,-122.333724,0.0,2.0,2.0
73,2ndAveCycleTrack,01/04/2015 01:00:00 AM,47.60529,-122.333724,0.0,1.0,1.0
74,2ndAveCycleTrack,01/04/2015 02:00:00 AM,47.60529,-122.333724,0.0,1.0,1.0
75,2ndAveCycleTrack,01/04/2015 03:00:00 AM,47.60529,-122.333724,0.0,1.0,1.0
76,2ndAveCycleTrack,01/04/2015 04:00:00 AM,47.60529,-122.333724,0.0,1.0,1.0
77,2ndAveCycleTrack,01/04/2015 05:00:00 AM,47.60529,-122.333724,1.0,0.0,1.0
78,2ndAveCycleTrack,01/04/2015 06:00:00 AM,47.60529,-122.333724,1.0,2.0,3.0
79,2ndAveCycleTrack,01/04/2015 07:00:00 AM,47.60529,-122.333724,0.0,2.0,2.0
80,2ndAveCycleTrack,01/04/2015 08:00:00 AM,47.60529,-122.333724,1.0,2.0,3.0
81,2ndAveCycleTrack,01/04/2015 09:00:00 AM,47.60529,-122.333724,3.0,2.0,5.0
82,2ndAveCycleTrack,01/04/2015 10:00:00 AM,47.60529,-122.333724,2.0,1.0,3.0
83,2ndAveCycleTrack,01/04/2015 11:00:00 AM,47.60529,-122.333724,1.0,0.0,1.0
84,2ndAveCycleTrack,01/04/2015 12:00:00 PM,47.60529,-122.333724,3.0,6.0,9.0
85,2ndAveCycleTrack,01/04/2015 01:00:00 PM,47.60529,-122.333724,0.0,10.0,10.0
86,2ndAveCycleTrack,01/04/2015 02:00:00 PM,47.60529,-122.333724,2.0,6.0,8.0
87,2ndAveCycleTrack,01/04/2015 03:00:00 PM,47.60529,-122.333724,1.0,2.0,3.0
88,2ndAveCycleTrack,01/04/2015 04:00:00 PM,47.60529,-122.333724,5.0,2.0,7.0
89,2ndAveCycleTrack,01/04/2015 05:00:00 PM,47.60529,-122.333724,14.0,11.0,25.0
90,2ndAveCycleTrack,01/04/2015 06:00:00 PM,47.60529,-122.333724,0.0,2.0,2.0
91,2ndAveCycleTrack,01/04/2015 07:00:00 PM,47.60529,-122.333724,1.0,1.0,2.0
92,2ndAveCycleTrack,01/04/2015 08:00:00 PM,47.60529,-122.333724,0.0,1.0,1.0
93,2ndAveCycleTrack,01/04/2015 09:00:00 PM,47.60529,-122.333724,3.0,4.0,7.0
94,2ndAveCycleTrack,01/04/2015 10:00:00 PM,47.60529,-122.333724,2.0,3.0,5.0
95,2ndAveCycleTrack,01/04/2015 11:00:00 PM,47.60529,-122.333724,0.0,0.0,0.0
96,2ndAveCycleTrack,01/05/2015 12:00:00 AM,47.60529,-122.333724,1.0,0.0,1.0
97,2ndAveCycleTrack,01/05/2015 01:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
98,2ndAveCycleTrack,01/05/2015 02:00:00 AM,47.60529,-122.333724,0.0,1.0,1.0
99,2ndAveCycleTrack,01/05/2015 03:00:00 AM,47.60529,-122.333724,1.0,0.0,1.0
100,2ndAveCycleTrack,01/05/2015 04:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
101,2ndAveCycleTrack,01/05/2015 05:00:00 AM,47.60529,-122.333724,5.0,4.0,9.0
102,2ndAveCycleTrack,01/05/2015 06:00:00 AM,47.60529,-122.333724,10.0,11.0,21.0
103,2ndAveCycleTrack,01/05/2015 07:00:00 AM,47.60529,-122.333724,15.0,18.0,33.0
104,2ndAveCycleTrack,01/05/2015 08:00:00 AM,47.60529,-122.333724,19.0,49.0,68.0
105,2ndAveCycleTrack,01/05/2015 09:00:00 AM,47.60529,-122.333724,14.0,23.0,37.0
106,2ndAveCycleTrack,01/05/2015 10:00:00 AM,47.60529,-122.333724,4.0,13.0,17.0
107,2ndAveCycleTrack,01/05/2015 11:00:00 AM,47.60529,-122.333724,6.0,8.0,14.0
108,2ndAveCycleTrack,01/05/2015 12:00:00 PM,47.60529,-122.333724,8.0,12.0,20.0
109,2ndAveCycleTrack,01/05/2015 01:00:00 PM,47.60529,-122.333724,7.0,11.0,18.0
110,2ndAveCycleTrack,01/05/2015 02:00:00 PM,47.60529,-122.333724,5.0,10.0,15.0
111,2ndAveCycleTrack,01/05/2015 03:00:00 PM,47.60529,-122.333724,9.0,23.0,32.0
112,2ndAveCycleTrack,01/05/2015 04:00:00 PM,47.60529,-122.333724,11.0,39.0,50.0
113,2ndAveCycleTrack,01/05/2015 05:00:00 PM,47.60529,-122.333724,29.0,64.0,93.0
114,2ndAveCycleTrack,01/05/2015 06:00:00 PM,47.60529,-122.333724,12.0,31.0,43.0
115,2ndAveCycleTrack,01/05/2015 07:00:00 PM,47.60529,-122.333724,5.0,12.0,17.0
116,2ndAveCycleTrack,01/05/2015 08:00:00 PM,47.60529,-122.333724,1.0,8.0,9.0
117,2ndAveCycleTrack,01/05/2015 09:00:00 PM,47.60529,-122.333724,0.0,6.0,6.0
118,2ndAveCycleTrack,01/05/2015 10:00:00 PM,47.60529,-122.333724,0.0,1.0,1.0
119,2ndAveCycleTrack,01/05/2015 11:00:00 PM,47.60529,-122.333724,1.0,0.0,1.0
120,2ndAveCycleTrack,01/06/2015 12:00:00 AM,47.60529,-122.333724,4.0,1.0,5.0
121,2ndAveCycleTrack,01/06/2015 01:00:00 AM,47.60529,-122.333724,1.0,0.0,1.0
122,2ndAveCycleTrack,01/06/2015 02:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
123,2ndAveCycleTrack,01/06/2015 03:00:00 AM,47.60529,-122.333724,1.0,1.0,2.0
124,2ndAveCycleTrack,01/06/2015 04:00:00 AM,47.60529,-122.333724,2.0,0.0,2.0
125,2ndAveCycleTrack,01/06/2015 05:00:00 AM,47.60529,-122.333724,2.0,8.0,10.0
126,2ndAveCycleTrack,01/06/2015 06:00:00 AM,47.60529,-122.333724,17.0,21.0,38.0
127,2ndAveCycleTrack,01/06/2015 07:00:00 AM,47.60529,-122.333724,21.0,32.0,53.0
128,2ndAveCycleTrack,01/06/2015 08:00:00 AM,47.60529,-122.333724,29.0,73.0,102.0
129,2ndAveCycleTrack,01/06/2015 09:00:00 AM,47.60529,-122.333724,23.0,39.0,62.0
130,2ndAveCycleTrack,01/06/2015 10:00:00 AM,47.60529,-122.333724,6.0,28.0,34.0
131,2ndAveCycleTrack,01/06/2015 11:00:00 AM,47.60529,-122.333724,11.0,15.0,26.0
132,2ndAveCycleTrack,01/06/2015 12:00:00 PM,47.60529,-122.333724,8.0,7.0,15.0
133,2ndAveCycleTrack,01/06/2015 01:00:00 PM,47.60529,-122.333724,19.0,20.0,39.0
134,2ndAveCycleTrack,01/06/2015 02:00:00 PM,47.60529,-122.333724,12.0,19.0,31.0
135,2ndAveCycleTrack,01/06/2015 03:00:00 PM,47.60529,-122.333724,13.0,22.0,35.0
136,2ndAveCycleTrack,01/06/2015 04:00:00 PM,47.60529,-122.333724,17.0,63.0,80.0
137,2ndAveCycleTrack,01/06/2015 05:00:00 PM,47.60529,-122.333724,33.0,66.0,99.0
138,2ndAveCycleTrack,01/06/2015 06:00:00 PM,47.60529,-122.333724,31.0,37.0,68.0
139,2ndAveCycleTrack,01/06/2015 07:00:00 PM,47.60529,-122.333724,8.0,16.0,24.0
140,2ndAveCycleTrack,01/06/2015 08:00:00 PM,47.60529,-122.333724,6.0,4.0,10.0
141,2ndAveCycleTrack,01/06/2015 09:00:00 PM,47.60529,-122.333724,3.0,8.0,11.0
142,2ndAveCycleTrack,01/06/2015 10:00:00 PM,47.60529,-122.333724,1.0,3.0,4.0
143,2ndAveCycleTrack,01/06/2015 11:00:00 PM,47.60529,-122.333724,1.0,7.0,8.0
144,2ndAveCycleTrack,01/07/2015 12:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
145,2ndAveCycleTrack,01/07/2015 01:00:00 AM,47.60529,-122.333724,0.0,3.0,3.0
146,2ndAveCycleTrack,01/07/2015 02:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
147,2ndAveCycleTrack,01/07/2015 03:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
148,2ndAveCycleTrack,01/07/2015 04:00:00 AM,47.60529,-122.333724,0.0,1.0,1.0
149,2ndAveCycleTrack,01/07/2015 05:00:00 AM,47.60529,-122.333724,3.0,3.0,6.0
150,2ndAveCycleTrack,01/07/2015 06:00:00 AM,47.60529,-122.333724,17.0,21.0,38.0
151,2ndAveCycleTrack,01/07/2015 07:00:00 AM,47.60529,-122.333724,19.0,34.0,53.0
152,2ndAveCycleTrack,01/07/2015 08:00:00 AM,47.60529,-122.333724,31.0,77.0,108.0
153,2ndAveCycleTrack,01/07/2015 09:00:00 AM,47.60529,-122.333724,21.0,45.0,66.0
154,2ndAveCycleTrack,01/07/2015 10:00:00 AM,47.60529,-122.333724,12.0,27.0,39.0
155,2ndAveCycleTrack,01/07/2015 11:00:00 AM,47.60529,-122.333724,13.0,16.0,29.0
156,2ndAveCycleTrack,01/07/2015 12:00:00 PM,47.60529,-122.333724,11.0,21.0,32.0
157,2ndAveCycleTrack,01/07/2015 01:00:00 PM,47.60529,-122.333724,8.0,16.0,24.0
158,2ndAveCycleTrack,01/07/2015 02:00:00 PM,47.60529,-122.333724,10.0,17.0,27.0
159,2ndAveCycleTrack,01/07/2015 03:00:00 PM,47.60529,-122.333724,12.0,31.0,43.0
160,2ndAveCycleTrack,01/07/2015 04:00:00 PM,47.60529,-122.333724,22.0,52.0,74.0
161,2ndAveCycleTrack,01/07/2015 05:00:00 PM,47.60529,-122.333724,50.0,84.0,134.0
162,2ndAveCycleTrack,01/07/2015 06:00:00 PM,47.60529,-122.333724,20.0,41.0,61.0
163,2ndAveCycleTrack,01/07/2015 07:00:00 PM,47.60529,-122.333724,9.0,9.0,18.0
164,2ndAveCycleTrack,01/07/2015 08:00:00 PM,47.60529,-122.333724,4.0,6.0,10.0
165,2ndAveCycleTrack,01/07/2015 09:00:00 PM,47.60529,-122.333724,1.0,3.0,4.0
166,2ndAveCycleTrack,01/07/2015 10:00:00 PM,47.60529,-122.333724,0.0,2.0,2.0
167,2ndAveCycleTrack,01/07/2015 11:00:00 PM,47.60529,-122.333724,0.0,3.0,3.0
168,2ndAveCycleTrack,01/08/2015 12:00:00 AM,47.60529,-122.333724,0.0,4.0,4.0
169,2ndAveCycleTrack,01/08/2015 01:00:00 AM,47.60529,-122.333724,0.0,2.0,2.0
170,2ndAveCycleTrack,01/08/2015 02:00:00 AM,47.60529,-122.333724,1.0,0.0,1.0
171,2ndAveCycleTrack,01/08/2015 03:00:00 AM,47.60529,-122.333724,0.0,1.0,1.0
172,2ndAveCycleTrack,01/08/2015 04:00:00 AM,47.60529,-122.333724,1.0,0.0,1.0
173,2ndAveCycleTrack,01/08/2015 05:00:00 AM,47.60529,-122.333724,1.0,6.0,7.0
174,2ndAveCycleTrack,01/08/2015 06:00:00 AM,47.60529,-122.333724,11.0,19.0,30.0
175,2ndAveCycleTrack,01/08/2015 07:00:00 AM,47.60529,-122.333724,11.0,35.0,46.0
176,2ndAveCycleTrack,01/08/2015 08:00:00 AM,47.60529,-122.333724,34.0,69.0,103.0
177,2ndAveCycleTrack,01/08/2015 09:00:00 AM,47.60529,-122.333724,19.0,49.0,68.0
178,2ndAveCycleTrack,01/08/2015 10:00:00 AM,47.60529,-122.333724,16.0,23.0,39.0
179,2ndAveCycleTrack,01/08/2015 11:00:00 AM,47.60529,-122.333724,8.0,29.0,37.0
180,2ndAveCycleTrack,01/08/2015 12:00:00 PM,47.60529,-122.333724,5.0,19.0,24.0
181,2ndAveCycleTrack,01/08/2015 01:00:00 PM,47.60529,-122.333724,11.0,19.0,30.0
182,2ndAveCycleTrack,01/08/2015 02:00:00 PM,47.60529,-122.333724,11.0,13.0,24.0
183,2ndAveCycleTrack,01/08/2015 03:00:00 PM,47.60529,-122.333724,12.0,25.0,37.0
184,2ndAveCycleTrack,01/08/2015 04:00:00 PM,47.60529,-122.333724,21.0,45.0,66.0
185,2ndAveCycleTrack,01/08/2015 05:00:00 PM,47.60529,-122.333724,30.0,83.0,113.0
186,2ndAveCycleTrack,01/08/2015 06:00:00 PM,47.60529,-122.333724,26.0,37.0,63.0
187,2ndAveCycleTrack,01/08/2015 07:00:00 PM,47.60529,-122.333724,11.0,16.0,27.0
188,2ndAveCycleTrack,01/08/2015 08:00:00 PM,47.60529,-122.333724,7.0,5.0,12.0
189,2ndAveCycleTrack,01/08/2015 09:00:00 PM,47.60529,-122.333724,1.0,2.0,3.0
190,2ndAveCycleTrack,01/08/2015 10:00:00 PM,47.60529,-122.333724,1.0,5.0,6.0
191,2ndAveCycleTrack,01/08/2015 11:00:00 PM,47.60529,-122.333724,1.0,3.0,4.0
192,2ndAveCycleTrack,01/09/2015 12:00:00 AM,47.60529,-122.333724,0.0,5.0,5.0
193,2ndAveCycleTrack,01/09/2015 01:00:00 AM,47.60529,-122.333724,0.0,2.0,2.0
194,2ndAveCycleTrack,01/09/2015 02:00:00 AM,47.60529,-122.333724,1.0,1.0,2.0
195,2ndAveCycleTrack,01/09/2015 03:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
196,2ndAveCycleTrack,01/09/2015 04:00:00 AM,47.60529,-122.333724,0.0,1.0,1.0
197,2ndAveCycleTrack,01/09/2015 05:00:00 AM,47.60529,-122.333724,4.0,2.0,6.0
198,2ndAveCycleTrack,01/09/2015 06:00:00 AM,47.60529,-122.333724,11.0,15.0,26.0
199,2ndAveCycleTrack,01/09/2015 07:00:00 AM,47.60529,-122.333724,15.0,37.0,52.0
200,2ndAveCycleTrack,01/09/2015 08:00:00 AM,47.60529,-122.333724,29.0,54.0,83.0
201,2ndAveCycleTrack,01/09/2015 09:00:00 AM,47.60529,-122.333724,15.0,39.0,54.0
202,2ndAveCycleTrack,01/09/2015 10:00:00 AM,47.60529,-122.333724,9.0,14.0,23.0
203,2ndAveCycleTrack,01/09/2015 11:00:00 AM,47.60529,-122.333724,9.0,14.0,23.0
204,2ndAveCycleTrack,01/09/2015 12:00:00 PM,47.60529,-122.333724,15.0,16.0,31.0
205,2ndAveCycleTrack,01/09/2015 01:00:00 PM,47.60529,-122.333724,13.0,13.0,26.0
206,2ndAveCycleTrack,01/09/2015 02:00:00 PM,47.60529,-122.333724,9.0,16.0,25.0
207,2ndAveCycleTrack,01/09/2015 03:00:00 PM,47.60529,-122.333724,10.0,26.0,36.0
208,2ndAveCycleTrack,01/09/2015 04:00:00 PM,47.60529,-122.333724,18.0,51.0,69.0
209,2ndAveCycleTrack,01/09/2015 05:00:00 PM,47.60529,-122.333724,48.0,71.0,119.0
210,2ndAveCycleTrack,01/09/2015 06:00:00 PM,47.60529,-122.333724,20.0,36.0,56.0
211,2ndAveCycleTrack,01/09/2015 07:00:00 PM,47.60529,-122.333724,7.0,17.0,24.0
212,2ndAveCycleTrack,01/09/2015 08:00:00 PM,47.60529,-122.333724,5.0,3.0,8.0
213,2ndAveCycleTrack,01/09/2015 09:00:00 PM,47.60529,-122.333724,0.0,6.0,6.0
214,2ndAveCycleTrack,01/09/2015 10:00:00 PM,47.60529,-122.333724,0.0,2.0,2.0
215,2ndAveCycleTrack,01/09/2015 11:00:00 PM,47.60529,-122.333724,3.0,3.0,6.0
216,2ndAveCycleTrack,01/10/2015 12:00:00 AM,47.60529,-122.333724,1.0,6.0,7.0
217,2ndAveCycleTrack,01/10/2015 01:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
218,2ndAveCycleTrack,01/10/2015 02:00:00 AM,47.60529,-122.333724,1.0,0.0,1.0
219,2ndAveCycleTrack,01/10/2015 03:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
220,2ndAveCycleTrack,01/10/2015 04:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
221,2ndAveCycleTrack,01/10/2015 05:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
222,2ndAveCycleTrack,01/10/2015 06:00:00 AM,47.60529,-122.333724,1.0,3.0,4.0
223,2ndAveCycleTrack,01/10/2015 07:00:00 AM,47.60529,-122.333724,2.0,2.0,4.0
224,2ndAveCycleTrack,01/10/2015 08:00:00 AM,47.60529,-122.333724,3.0,8.0,11.0
225,2ndAveCycleTrack,01/10/2015 09:00:00 AM,47.60529,-122.333724,1.0,10.0,11.0
226,2ndAveCycleTrack,01/10/2015 10:00:00 AM,47.60529,-122.333724,1.0,3.0,4.0
227,2ndAveCycleTrack,01/10/2015 11:00:00 AM,47.60529,-122.333724,1.0,16.0,17.0
228,2ndAveCycleTrack,01/10/2015 12:00:00 PM,47.60529,-122.333724,2.0,9.0,11.0
229,2ndAveCycleTrack,01/10/2015 01:00:00 PM,47.60529,-122.333724,8.0,7.0,15.0
230,2ndAveCycleTrack,01/10/2015 02:00:00 PM,47.60529,-122.333724,4.0,14.0,18.0
231,2ndAveCycleTrack,01/10/2015 03:00:00 PM,47.60529,-122.333724,6.0,11.0,17.0
232,2ndAveCycleTrack,01/10/2015 04:00:00 PM,47.60529,-122.333724,4.0,8.0,12.0
233,2ndAveCycleTrack,01/10/2015 05:00:00 PM,47.60529,-122.333724,8.0,9.0,17.0
234,2ndAveCycleTrack,01/10/2015 06:00:00 PM,47.60529,-122.333724,9.0,4.0,13.0
235,2ndAveCycleTrack,01/10/2015 07:00:00 PM,47.60529,-122.333724,3.0,3.0,6.0
236,2ndAveCycleTrack,01/10/2015 08:00:00 PM,47.60529,-122.333724,5.0,4.0,9.0
237,2ndAveCycleTrack,01/10/2015 09:00:00 PM,47.60529,-122.333724,8.0,4.0,12.0
238,2ndAveCycleTrack,01/10/2015 10:00:00 PM,47.60529,-122.333724,12.0,3.0,15.0
239,2ndAveCycleTrack,01/10/2015 11:00:00 PM,47.60529,-122.333724,0.0,0.0,0.0
240,2ndAveCycleTrack,01/11/2015 12:00:00 AM,47.60529,-122.333724,3.0,4.0,7.0
241,2ndAveCycleTrack,01/11/2015 01:00:00 AM,47.60529,-122.333724,0.0,1.0,1.0
242,2ndAveCycleTrack,01/11/2015 02:00:00 AM,47.60529,-122.333724,0.0,0.0,0.0
243,2ndAveCycleTrack,01/11/2015 03:00:00 AM,47.60529,-122.333724,0.0,1.0,1.0
244,2ndAveCycleTrack,01/11/2015 04:00:00 AM,47.60529,-122.333724,1.0,0.0,1.0
245,2ndAveCycleTrack,01/11/2015 05:00:00 AM,47.60529,-122.333724,1.0,0.0,1.0
246,2ndAveCycleTrack,01/11/2015 06:00:00 AM,47.60529,-122.333724,2.0,1.0,3.0
247,2ndAveCycleTrack,01/11/2015 07:00:00 AM,47.60529,-122.333724,1.0,4.0,5.0
248,2ndAveCycleTrack,01/11/2015 08:00:00 AM,47.60529,-122.333724,6.0,2.0,8.0
249,2ndAveCycleTrack,01/11/2015 09:00:00 AM,47.60529,-122.333724,0.0,4.0,4.0
250,2ndAveCycleTrack,01/11/2015 10:00:00 AM,47.60529,-122.333724,2.0,4.0,6.0
251,2ndAveCycleTrack,01/11/2015 11:00:00 AM,47.60529,-122.333724,1.0,6.0,7.0
252,2ndAveCycleTrack,01/11/2015 12:00:00 PM,47.60529,-122.333724,5.0,6.0,11.0
253,2ndAveCycleTrack,01/11/2015 01:00:00 PM,47.60529,-122.333724,1.0,9.0,10.0
254,2ndAveCycleTrack,01/11/2015 02:00:00 PM,47.60529,-122.333724,6.0,9.0,15.0
255,2ndAveCycleTrack,01/11/2015 03:00:00 PM,47.60529,-122.333724,3.0,9.0,12.0
256,2ndAveCycleTrack,01/11/2015 04:00:00 PM,47.60529,-122.333724,1.0,3.0,4.0
257,2ndAveCycleTrack,01/11/2015 05:00:00 PM,47.60529,-122.333724,1.0,6.0,7.0
258,2ndAveCycleTrack,01/11/2015 06:00:00 PM,47.60529,-122.333724,1.0,3.0,4.0
259,2ndAveCycleTrack,01/11/2015 07:00:00 PM,47.60529,-122.333724,0.0,2.0,2.0
260,2ndAveCycleTrack,01/11/2015 08:00:00 PM,47.60529,-122.333724,1.0,2.0,3.0
261,2ndAveCycleTrack,01/11/2015 09:00:00 PM,47.60529,-122.333724,0.0,4.0,4.0
262,2ndAveCycleTrack,01/11/2015 10:00:00 PM,47.60529,-122.333724,1.0,2.0,3.0
